FILE_NAME,DATA_TYPE,SITE,INV_NO,CUSTOMER_ID,CARD_CD,TRANS_DATE,ARTICLE,ART_NAME,ART_NO,BARCODE,DIVISION,DEPARTMENT,SUB_DEPT,CLASS,SUB_CLASS,SUPPL_NAME,BRAND,SALE_QTY,SALE_INVAT,SALE_EXVAT,GP_AMT,GP_P
RF123_D1_SALES_ST,D,17004 FOBCHR,103002573F,2222000115855,,02-01-2023,102530316-0,WRF_ขนมปังโฮลวีท 250G.,102530316,8851886023179,05 FRESH FOOD,0550 BAKERY,055060 PACKAGE BAKERY,05506001 BREAD,0550600102 SLICE,6300278 : ซันเมอรี่ บจก.,WE ARE FRESH,1.000,18.000,16.820,0.5100000000000000,3.0300000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,103002572F,2222000091668,,02-01-2023,102793909-0,ทาคูมิโชยุ 1000  มล แพค 2,102793909,8850250004103,04 DRY FOOD,0430 SALTED GROCERY,043040 COOKING INGRED.,04304002 COOKING SAUCES,0430400204 SEASONING SAUCE,6600026 : อายิโนะโมะโต๊ะเซลส์(ปทท)บจก.MM_FOOD,TAKUMI-AJI,1.000,190.000,177.570,13.4100000000000000,7.5500000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,101002947,2221000000018,,02-01-2023,102963027-0,ซีพลัสน้ำยาล้างจานมะนาว 400มล.,102963027,8859700900019,04 DRY FOOD,0470 HOUSEHOLD,047020 CLEANER,04702001 DISH DETERGENT,0470200101 LIQUID DISH,6600323 : โอเชี่ยน คลีน ซัพพลาย บจก. MM_FOOD,OTHER,1.000,10.000,9.350,1.3500000000000000,14.4400000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,101002911,2221000000018,,02-01-2023,101061510-0,ดัชมิลล์ดีมอลต์180มล.แพค4ซ็อคโกแลต,101061510,8853002300539,04 DRY FOOD,0440 BEVERAGE,044030 UHT MILK,04403002 TONIC DRINK,0440300201 FULL FAT,6000061 : แดรี่พลัส บจก,DMALT,1.000,43.000,40.190,3.8000000000000000,9.4600000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,103002595F,2222000093524,,02-01-2023,101869442-0,ดัชมิลล์นมสดขาดมันเนย 0% 400มล,101869442,8851717901881,05 FRESH FOOD,0560 PERISHABLE,056010 DAIRY,05601001 FRESH MILK,0560100102 LOW FAT,6600059 : ดัชมิลล์ บจก.(MM_FOOD),DUTCH MILL,1.000,13.000,13.000,-8.1900000000000000,-63.0000000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,182002189F,2221000024323,,02-01-2023,101983571-0,อร่อยดีกะทิ 1000ML P2,101983571,8851613800639,04 DRY FOOD,0431 SALTED GROCERY_WHSL,043140 COOKING INGRED._WHSL,04314004 SEASONINGS_WHSL,0431400408 PACKAGE COCONUT_WHSL,6600288 : ไทย อกริ ฟู้ดส์ บมจ.(DF) MM_FOOD,AROY-D,5.000,650.000,607.480,38.1800000000000000,6.2800000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,101001356F,2222000116481,,02-01-2023,102076636-0,นมสดแมคโนเลีย รสจืด 2 ลิตร.,102076636,8858705602959,05 FRESH FOOD,0560 PERISHABLE,056010 DAIRY,05601001 FRESH MILK,0560100101 FULL FAT,6600213 : เอฟแอนด์เอ็น แดรี่ส์ (ปทท) บจก. MM,MAGNOLIA,1.000,90.000,90.000,7.7600000000000000,8.6200000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,103006732,2221000000018,,02-01-2023,102087170-0,โสมอินซัม 100 มล.,102087170,8851123233002,04 DRY FOOD,0440 BEVERAGE,044020 NON- CARBONATED DRINK,04402001 SPORTS/ENERGY DRINK,0440200101 ENERGY,6600291 : โอสถสภา เบฟเวอเรจ บจก. (LIPO) MM,SOMINSUM,1.000,10.000,9.350,2.0200000000000000,21.6000000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,103006707,2221000000018,,02-01-2023,102103740-0,อสร.น้ำส้มสายชูกลั่น5% 700มล.,102103740,8858935387008,04 DRY FOOD,0430 SALTED GROCERY,043040 COOKING INGRED.,04304002 COOKING SAUCES,0430400206 COOKING VINEGAR,6600002 : อสร. ฟู้ดส์ บจก. (MM_FOOD),AORSORROR,1.000,23.000,21.490,5.2700000000000000,24.5200000000000
RF123_D1_SALES_ST,D,17004 FOBCHR,101002953,2221000000018,,02-01-2023,102146714-0,WRF_เห็ดเข็มทอง 200 กรัม,102146714,2000006888419,05 FRESH FOOD,0530 PRODUCE,053071 VEGETABLES PACK,05307103 MUSHROOM,0530710301 ENOKI MUSHROOM,6600017 : โปร เห็ด บจก.(MM_FOOD),WE ARE FRESH,1.000,15.000,15.000,4.5000000000000000,30.0000000000000
RF123_D1_SALES_ST,D,17002 Palm Island,103017219F,2222000066322,,02-01-2023,102070498-0,เดนิสาช๊อกโกคาสชิวนัท200ก.,102070498,8996001303863,04 DRY FOOD,0420 SWEETED GROCE.2,042060 BISCUITS,04206001 BISCUITS/ WAFERS,0420600101 BISCUITS/ COOKIES,6600054 : ซีโน-แปซิฟิค เทรดดิ้ง (ปทท) บจก.MM,DANISA,1.000,80.000,74.770,11.2100000000000000,14.9900000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009533F,2222000068336,,02-01-2023,102247423-0,วอลล์คลาสสิค วานิลลา เฟลเวอร์ ใหม่ 180 ก.,102247423,8851932348126,05 FRESH FOOD,0570 FROZEN,057060 ICE CREAM,05706003 TAKE HOME TUB,0570600303 VANILLA,6600120 : ยูนิลีเวอร์ ไทย เทรดดิ้ง (SOLUTION),WALL'S,1.000,45.000,42.060,12.7500000000000000,30.3100000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009544F,2222000110294,,02-01-2023,102247432-0,วอลล์ 3IN1 ทริปเปิลฟรุ๊ต ใหม่ 470 ก.,102247432,8851932348164,05 FRESH FOOD,0570 FROZEN,057060 ICE CREAM,05706003 TAKE HOME TUB,0570600308 MIXED FLAVOR,6600120 : ยูนิลีเวอร์ ไทย เทรดดิ้ง (SOLUTION),WALL'S,1.000,89.000,83.180,23.8100000000000000,28.6200000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009496F,2222000066322,,02-01-2023,102252125-0,เคบีเอสน้ำตาลขาวบริสุทธิ์1กก.,102252125,8858877700163,04 DRY FOOD,0430 SALTED GROCERY,043040 COOKING INGRED.,04304007 SUGAR,0430400701 REFINED SUGAR,6004276 : น้ำตาลครบุรี บมจ.,KBS,100.000,2300.000,2149.530,149.4300000000000000,6.9500000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009513F,2221000026591,,02-01-2023,102295248-0,WE ARE FRESHเมล่อนญี่ปุ่นเขียว,102295248,0255413000004,05 FRESH FOOD,0530 PRODUCE,053010 LOCAL FRUITS,05301002 MELON FRUIT,0530100202 CANTALOUPE,6600051 : วาสนาเมล่อนฟาร์ม บจก.(MM_FOOD),WE ARE FRESH,0.870,69.000,69.000,-3.2100000000000000,-4.6500000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009499F,2221000017350,,02-01-2023,102305092-0,ซีวิตวิตามินทับทิม140มล,102305092,8851123237062,04 DRY FOOD,0440 BEVERAGE,044020 NON- CARBONATED DRINK,04402006 FUNCTIONAL DRINK,0440200602 HEALTHY SHOT,6600291 : โอสถสภา เบฟเวอเรจ บจก. (LIPO) MM,C-VITT,1.000,16.000,14.950,3.4900000000000000,23.3400000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009543F,2221000028803,,02-01-2023,102386909-0,อาหารเช้าตราคอปปรสชอกโกแลต70ก.,102386909,8850424001679,04 DRY FOOD,0410 SWEETED GROCE.1,041070 CEREAL,04107001 COLD CEREAL,0410700101 KIDS,6003244 : ยูโรเปี้ยน สแนค ฟู้ด บจก.,COPP,1.000,20.000,18.690,3.7600000000000000,20.1200000000000
RF123_D1_SALES_ST,D,17002 Palm Island,103017224F,2221000004796,,02-01-2023,102418347-0,IMP_มิชชั่น แผ่นแป้งรสดั้งเดิม,102418347,9555615900005,04 DRY FOOD,0430 SALTED GROCERY,043030 AGRICULTURE,04303003 DRIED FOOD,0430300303 SPECIALLY DRIED,6600094 : โกลบอล ฟู้ด โปรดักส์ บจก. (MM_FOOD),IMP LOCAL,1.000,109.000,101.870,25.4700000000000000,25.0000000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009540F,2223000119053,,02-01-2023,102423862-0,มาม่าบะหมี่รสหมูสับ 60ก. P30,102423862,8850987101274,04 DRY FOOD,0430 SALTED GROCERY,043010 INSTANT FOOD,04301002 NOODLES,0430100201 EGG NOODLES,6600176 : สหพัฒนพิบูล บมจ. (มาม่า) MM_FOOD,MAMA,1.000,176.000,164.490,-1.4200000000000000,-0.8600000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102019355,2221000000018,,02-01-2023,102531227-0,เทพไทยยาสีฟันสเปียร์มิ้น70ก,102531227,8857123060037,04 DRY FOOD,0460 HBA,046020 ORAL CARE,04602001 TOOTHPASTE,0460200102 HERBAL/POWDER,6002575 : แมสมาร์เก็ตติ้ง บจก.,TEPTHAI,1.000,105.000,98.130,19.6200000000000000,19.9900000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009493F,2222000058857,,02-01-2023,102532136-0,ทีพอท นมข้นหวานสูตรนมสด180G,102532136,8858705607572,04 DRY FOOD,0410 SWEETED GROCE.1,041020 HOT DRINK,04102005 CANNED MILK,0410200502 SWEET CONDEN,6600213 : เอฟแอนด์เอ็น แดรี่ส์ (ปทท) บจก. MM,TEAPOT,1.000,18.000,16.820,-0.5300000000000000,-3.1500000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009520F,2222000090082,,02-01-2023,102532407-0,สก๊อตกิฟท์บ๊อกซ์ E,102532407,8852007940245,04 DRY FOOD,0410 SWEETED GROCE.1,041030 FOOD SUPPLEMENT,04103003 HEALTH SUPPLEMENT,0410300302 BIRDS NEST,4300787 : เอส แอนด์ ซันส์ เทรดดิ้ง บจก.,SCOTCH,1.000,749.000,700.000,31.3400000000000000,4.4800000000000
RF123_D1_SALES_ST,D,17002 Palm Island,102009545F,2221000002287,,02-01-2023,102626810-0,เคลียร์แชมพูสีฟ้า400มล.,102626810,8851932391542,04 DRY FOOD,0460 HBA,046030 HAIR CARE,04603001 SHAMPOO,0460300103 ANTI-DANDUFF,6600119 : ยูนิลีเวอร์ ไทย เทรดดิ้ง บจก. HPC,CLEAR,1.000,189.000,176.640,30.2400000000000000,17.1200000000000
